"playDispNm","playPos","sum(GP)","sum(playMin)","sum(playPTS)","sum(playAST)","sum(playTO)","sum(playSTL)","sum(playBLK)","sum(playFGA)","sum(playFGM)","sum(play3PA)","sum(play3PM)","sum(playFTA)","sum(playFTM)","sum(playTRB)","sum(TotPoss)","TotGP","playMPG","playPTS.36","playAST.36","playTO.36","playSTL.36","playBLK.36","playFGA.36","playFGM.36","playFGp.36","play3PA.36","play3PM.36","play3Pp.36","playFTA.36","playFTM.36","playFTp.36","playTRB.36","playTotPoss.36"
"Marreese Speights","PF",50,675,402,40,40,8,22,349,138,233,86,55,40,133,331.114402614557,50,486,21.44,2.13333333333333,2.13333333333333,0.426666666666667,1.17333333333333,18.6133333333333,7.36,0.39541547277937,12.4266666666667,4.58666666666667,0.369098712446352,2.93333333333333,2.13333333333333,0.727272727272727,7.09333333333333,17.6594348061097
"Marvin Williams","PF",78,2008,744,96,66,56,39,563,258,306,126,123,102,370,581.110317460245,78,926.769230769231,13.3386454183267,1.72111553784861,1.18326693227092,1.00398406374502,0.699203187250996,10.093625498008,4.62549800796813,0.458259325044405,5.48605577689243,2.25896414342629,0.411764705882353,2.20517928286853,1.82868525896414,0.829268292682927,6.63346613545817,10.4183124644267
"Mason Plumlee","C",74,1441,524,141,106,49,80,368,221,1,0,179,82,400,512.695924726699,74,701.027027027027,13.0909090909091,3.52255378209577,2.64816099930604,1.22414989590562,1.99861207494795,9.19361554476058,5.52116585704372,0.60054347826087,0.0249826509368494,0,0,4.47189451769604,2.04857737682165,0.458100558659218,9.99306037473976,12.8085033241923
"Matthew Dellavedova","PG",38,709,164,145,49,13,1,152,55,78,29,27,25,65,222.72707799216,38,671.684210526316,8.32722143864598,7.36248236953455,2.48801128349788,0.660084626234133,0.0507757404795487,7.7179125528914,2.79266572637518,0.361842105263158,3.9605077574048,1.47249647390691,0.371794871794872,1.37094499294781,1.26939351198872,0.925925925925926,3.30042313117066,11.3091323098981
"Maxi Kleber","PF",66,1177,373,49,30,24,46,297,146,122,39,55,42,226,312.795414761821,66,642,11.4086661002549,1.49872557349193,0.917587085811385,0.734069668649108,1.40696686491079,9.08411214953271,4.46559048428207,0.491582491582492,3.73152081563297,1.1928632115548,0.319672131147541,1.68224299065421,1.28462192013594,0.763636363636364,6.9124893797791,9.56723443621544
"Meyers Leonard","C",29,236,101,17,9,6,0,72,42,24,10,7,7,64,38.4803529950661,29,292.965517241379,15.4067796610169,2.59322033898305,1.3728813559322,0.915254237288136,0,10.9830508474576,6.40677966101695,0.583333333333333,3.66101694915254,1.52542372881356,0.416666666666667,1.06779661016949,1.06779661016949,1,9.76271186440678,5.86988435517958
"Michael Beasley","SF",72,1657,974,123,143,36,43,804,408,86,34,159,124,413,864.989424138428,72,828.5,21.1611345805673,2.67229933614967,3.10681955340978,0.782136391068196,0.934218467109234,17.4677127338564,8.86421243210622,0.507462686567164,1.86843693421847,0.738684369342185,0.395348837209302,3.45443572721786,2.69402534701267,0.779874213836478,8.97284248642124,18.7927696252163
"Michael Carter-Williams","PG",52,835,239,116,54,45,23,229,76,59,14,89,73,138,302.945841408585,52,578.076923076923,10.3041916167665,5.00119760479042,2.32814371257485,1.94011976047904,0.991616766467066,9.87305389221557,3.27664670658683,0.331877729257642,2.5437125748503,0.603592814371257,0.23728813559322,3.83712574850299,3.14730538922156,0.820224719101124,5.9497005988024,13.0611380727055
"Michael Kidd-Gilchrist","SF",74,1852,681,71,53,51,31,560,282,2,0,171,117,301,589.020215235406,74,900.972972972973,13.2375809935205,1.38012958963283,1.03023758099352,0.991360691144708,0.602591792656588,10.8855291576674,5.48164146868251,0.503571428571429,0.0388768898488121,0,0,3.32397408207343,2.27429805615551,0.684210526315789,5.85097192224622,11.4496370132152
"Mike James","PG",36,688,336,126,50,28,7,320,123,98,26,84,64,90,361.995353839465,36,688,17.5813953488372,6.59302325581395,2.61627906976744,1.46511627906977,0.366279069767442,16.7441860465116,6.43604651162791,0.384375,5.12790697674419,1.36046511627907,0.26530612244898,4.3953488372093,3.34883720930233,0.761904761904762,4.7093023255814,18.941617352065
